pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-138 c,K2-138,1,6,Transit,2017,K2,0,3.56004,0.00012,-0.00011,0.0,0.04461,0.0003,-0.00038,0.0,2.299,0.12,-0.087,0.0,0.205,0.011,-0.008,0.0,6.31,1.13,-1.23,0.0,0.01985,0.00356,-0.00387,0.0,Mass,0.045,0.051,-0.032,0.0,279.0,21.0,-20.0,0.0,1012.0,65.0,-61.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
K2-138 d,K2-138,1,6,Transit,2017,K2,0,5.40479,0.00021,-0.00021,0.0,0.05893,0.0004,-0.0005,0.0,2.39,0.104,-0.084,0.0,0.213,0.009,-0.007,0.0,7.92,1.39,-1.35,0.0,0.02492,0.00437,-0.00425,0.0,Mass,0.043,0.041,-0.03,0.0,160.0,12.0,-11.0,0.0,888.0,57.0,-53.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
K2-138 e,K2-138,1,6,Transit,2017,K2,0,8.26146,0.00021,-0.00022,0.0,0.0782,0.00053,-0.00066,0.0,3.39,0.156,-0.11,0.0,0.302,0.014,-0.01,0.0,12.97,1.98,-1.99,0.0,0.04081,0.00623,-0.00626,0.0,Mass,0.077,0.048,-0.049,0.0,91.1,7.0,-6.6,0.0,757.0,52.0,-47.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
K2-138 f,K2-138,1,6,Transit,2017,K2,0,12.75758,0.0005,-0.00048,0.0,0.10447,0.0007,-0.00088,0.0,2.904,0.164,-0.111,0.0,0.259,0.015,-0.01,0.0,1.63,2.12,-1.18,0.0,0.00513,0.00667,-0.00371,0.0,Mass,0.062,0.064,-0.043,0.0,51.0,3.9,-3.7,0.0,653.0,45.0,-42.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
K2-138 g,K2-138,1,6,Transit,2021,K2,0,41.96797,0.00843,-0.00725,0.0,0.23109,0.00154,-0.00196,0.0,3.013,0.303,-0.251,0.0,0.269,0.027,-0.022,0.0,4.32,5.26,-3.03,0.0,0.01359,0.01655,-0.00953,0.0,Mass,0.059,0.063,-0.04,0.0,9.29,2.92,-2.23,0.0,445.0,31.0,-30.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
K2-146 b,K2-146,1,2,Transit,2018,K2,0,2.6446,6e-05,-6e-05,0.0,0.0248,0.0002,-0.0002,0.0,2.05,0.06,-0.06,0.0,0.183,0.005,-0.005,0.0,5.77,0.18,-0.18,0.0,0.01816,0.00024,-0.00024,0.0,Mass,0.129,0.019,-0.019,0.0,20.7,4.8,-4.8,0.0,534.0,10.0,-10.0,0.0,1,M3.0 V,3385.0,70.0,-70.0,0.0,0.33,0.01,-0.01,0.0,0.33,0.01,-0.01,0.0,-0.02,0.12,-0.12,0.0,[Fe/H],4.9,0.0,0.0,0.0,08h40m06.41s,130.0266951,+19d05m32.43s,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523
K2-18 b,K2-18,1,2,Transit,2015,K2,0,32.939623,9.5e-05,-0.0001,0.0,0.1429,0.006,-0.0065,0.0,2.37,0.22,-0.22,0.0,0.211,0.02,-0.02,0.0,8.92,1.7,-1.6,0.0,0.02807,0.00535,-0.00503,0.0,Mass,0.2,0.08,-0.08,0.0,1.01,0.08,-0.08,0.0,284.0,15.0,-15.0,0.0,0,M2.5 V,3457.0,39.0,-39.0,0.0,0.41,0.04,-0.04,0.0,0.36,0.05,-0.05,0.0,0.12,0.16,-0.16,0.0,[Fe/H],4.79,0.01,-0.01,0.0,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,12.4154,0.000502,-0.000502
K2-19 b,K2-19,1,3,Transit,2015,K2,0,7.9222,0.0001,-0.0001,0.0,0.074,0.0012,-0.0012,0.0,7.0,0.2,-0.2,0.0,0.624,0.018,-0.018,0.0,32.4,1.7,-1.7,0.0,0.10194,0.00535,-0.00535,0.0,Mass,0.2,0.03,-0.03,0.0,87.7,9.3,-12.9,0.0,854.0,24.0,-24.0,0.0,1,G9 V,5322.0,100.0,-100.0,0.0,0.82,0.03,-0.03,0.0,0.88,0.03,-0.03,0.0,0.06,0.05,-0.05,0.0,[Fe/H],4.51,0.08,-0.08,0.0,11h39m50.46s,174.9602543,+00d36m12.95s,0.603596,289.827,5.68,-5.469,13.024,0.092,-0.092,11.161,0.026,-0.026,12.8153,0.000455,-0.000455
K2-19 c,K2-19,1,3,Transit,2015,K2,0,11.8993,0.0008,-0.0008,0.0,0.0971,0.0016,-0.0016,0.0,4.1,0.2,-0.2,0.0,0.366,0.018,-0.018,0.0,10.8,0.6,-0.6,0.0,0.03398,0.00189,-0.00189,0.0,Mass,0.21,0.03,-0.03,0.0,48.8,6.4,-6.2,0.0,745.0,21.0,-21.0,0.0,1,G9 V,5322.0,100.0,-100.0,0.0,0.82,0.03,-0.03,0.0,0.88,0.03,-0.03,0.0,0.06,0.05,-0.05,0.0,[Fe/H],4.51,0.08,-0.08,0.0,11h39m50.46s,174.9602543,+00d36m12.95s,0.603596,289.827,5.68,-5.469,13.024,0.092,-0.092,11.161,0.026,-0.026,12.8153,0.000455,-0.000455
K2-237 b,K2-237,1,1,Transit,2018,K2,0,2.18053539,8.6e-07,-8.5e-07,0.0,0.03558,0.00048,-0.00065,0.0,16.197,0.549,-0.504,0.0,1.445,0.049,-0.045,0.0,433.20012,34.96112,-29.24021,0.0,1.363,0.11,-0.092,0.0,Mass,0.042,0.034,-0.028,0.0,1860.0,210.0,-180.0,0.0,1828.0,48.0,-46.0,0.0,0,F9 V,6360.0,190.0,-200.0,0.0,1.26,0.03,-0.03,0.0,1.26,0.05,-0.07,0.0,0.137,0.05,-0.049,0.0,[Fe/H],4.34,0.02,-0.03,0.0,16h55m04.52s,253.7688479,-28d42m38.10s,-28.7105836,314.995,7.221,-6.91,11.602,0.034,-0.034,10.217,0.023,-0.023,11.4668,0.000949,-0.000949
